"Appeal Code","Appeal Type","Program Code","Drop Date","Fiscal Year","Start Date","Stop Date","Number Selected","Appeal Name","Appeal Cost"
"AA"," "," "," "," "," "," "," ","Arthur Andersen"," "
"AB"," "," "," "," "," "," "," ","Alumni Band"," "
"AP"," "," "," "," "," "," "," ","Parents of Graduates"," "
"AR"," "," "," "," "," "," "," ","Actually Received Before"," "
"A1"," "," "," "," "," "," "," ","Arts & Science English"," "
"A2"," "," "," "," "," "," "," ","Arts & Science Botany"," "
"A4"," "," "," "," "," "," "," ","Arts & Science History"," "
"A5"," "," "," "," "," "," "," ","Arts & Science Psychology"," "
"A6"," "," "," "," "," "," "," ","Arts & Science Geology"," "
"BN"," "," "," "," "," "," "," ","Black Non-Donors"," "
"BP"," "," "," "," "," "," "," ","Black Previous Donors"," "
"B1"," "," "," "," "," "," "," ","Bishop 1st Mailing"," "
"B2"," "," "," "," "," "," "," ","Bishop 2nd Mailing"," "
"B3"," "," "," "," "," "," "," ","Bishop Personal Solicitat"," "
"B4"," "," "," "," "," "," "," ","Bishop Phonathon"," "
"CP"," "," "," "," "," "," "," ","Paid Up Presidents Club"," "
"CR"," "," "," "," "," "," "," ","Class of 1942 Scholarship"," "
"DF"," "," "," "," "," "," "," ","Performing Artist Series"," "
"DP"," "," "," "," "," "," "," ","Payroll Deduction"," "
"DS"," "," "," "," "," "," "," ","Current Sophomore Parents"," "
"DT"," "," "," "," "," "," "," ","Deloitte & Touche"," "
"EI"," "," "," "," "," "," "," ","Estate Insurance"," "
"EL"," "," "," "," "," "," "," ","On-line Pledges and Gifts"," "
"EP"," "," "," "," "," "," "," ","Estate-Pooled Life"," "
"ES"," "," "," "," "," "," "," ","Estate Planning"," "
"ET"," "," "," "," "," "," "," ","Estate-Trust"," "
"EW"," "," "," "," "," "," "," ","Estate-Will"," "
"FD"," "," "," "," "," "," "," ","Current Sophomore Parents"," "
"FP"," "," "," "," "," "," "," ","Freshman Parents"," "
"F1"," "," "," "," "," "," "," ","Faculty-Spring"," "
"F2"," "," "," "," "," "," "," ","Faculty-Fall"," "
"GC"," "," "," "," "," "," "," ","Greater Cincinnati"," "
"GF"," "," "," "," "," "," "," ","W. Stiles Mem Golf Tourna"," "
"GL"," "," "," "," "," "," "," ","Glee Club"," "
"G2"," "," "," "," "," "," "," ","Previous Donors-Fall"," "
"HC"," "," "," "," "," "," "," ","Hamilton Campaign 1985"," "
"HI"," "," "," "," "," "," "," ","Lt. Col. Higgins Project"," "
"HT"," "," "," "," "," "," "," ","Hamilton Campus Campaign"," "
"IN"," "," "," "," "," "," "," ","In Memoriam"," "
"IS"," "," "," "," "," "," "," ","Interdisciplinary Studi"," "
"JH"," "," "," "," "," "," "," ","Jeff Hauk"," "
"JR"," "," "," "," "," "," "," ","Special Emeriti"," "
"LD"," "," "," "," "," "," "," ","Leadership Gifts"," "
"LL"," "," "," "," "," "," "," ","Library Solicit to Senior"," "
"LP"," "," "," "," "," "," "," ","Two Year Lapsed postcard"," "
"LY"," "," "," "," "," "," "," ","Two Year Lapsed"," "
"L1"," "," "," "," "," "," "," ","Two Year Lapsed - 1st Mailing"," "
"L2"," "," "," "," "," "," "," ","Two Year Lapsed - 2nd Mailing"," "
"L3"," "," "," "," "," "," "," ","Library Mailing"," "
"MC"," "," "," "," "," "," "," ","Middletown Campus Annual"," "
"MF"," "," "," "," "," "," "," ","Moeckel Faculty"," "
"MI"," "," "," "," "," "," "," ","Middletown Campus"," "
"MU"," "," "," "," "," "," "," ","Art Museum"," "
"M1"," "," "," "," "," "," "," ","Moeckel Professorship"," "
"M2"," "," "," "," "," "," "," ","Moeckel Professorship"," "
"M3"," "," "," "," "," "," "," ","Moeckel Professorship"," "
"NN"," "," "," "," "," "," "," ","Phon Non-Donors 1987"," "
"N0"," "," "," "," "," "," "," ","Non-Donors-1990"," "
"N1"," "," "," "," "," "," "," ","Non-Donors-1991"," "
"N2"," "," "," "," "," "," "," ","Non-Donors-1992"," "
"N3"," "," "," "," "," "," "," ","Non-Donors-1993"," "
"N4"," "," "," "," "," "," "," ","Non-Donors-1994"," "
"N5"," "," "," "," "," "," "," ","Non-Donors-1995"," "
"N6"," "," "," "," "," "," "," ","Non-Donors 1996"," "
"N7"," "," "," "," "," "," "," ","Non-Donors 1997"," "
"N8"," "," "," "," "," "," "," ","Non-Donors-1982, 83, 84"," "
"N9"," "," "," "," "," "," "," ","Non-Donors-1989"," "
"PB"," "," "," "," "," "," "," ","Prodesse-Bishop"," "
"PC"," "," "," "," "," "," "," ","Presidents club"," "
"PD"," "," "," "," "," "," "," ","Payroll Deduction"," "
"PJ"," "," "," "," "," "," "," ","Current Junior Parents"," "
"PN"," "," "," "," "," "," "," ","88-93 Grads Non Donor"," "
"PP"," "," "," "," "," "," "," ","Phonathon Previous (Lost)"," "
"PR"," "," "," "," "," "," "," ","Current Senior Parents"," "
"PS"," "," "," "," "," "," "," ","Prodesse Society"," "
"PY"," "," "," "," "," "," "," ","Previous Yr But Not This"," "
"P1"," "," "," "," "," "," "," ","Parents-Spring"," "
"P2"," "," "," "," "," "," "," ","Parents-Fall"," "
"P3"," "," "," "," "," "," "," ","Parents-Spring Phonathon"," "
"P4"," "," "," "," "," "," "," ","Parents-Fall Phonathon"," "
"P6"," "," "," "," "," "," "," ","Parents Council"," "
"QP"," "," "," "," "," "," "," ","Early Payment"," "
"RA"," "," "," "," "," "," "," ","MSAA Division IX Aid"," "
"RC"," "," "," "," "," "," "," ","Golf Tournament-Cromer"," "
