"Entity ID","Athletics Activity","Start Date","End Date"
"A00013651","SWM","01/JUL/1993","30/JUN/1994"
"A00013665","TRK","01/JUL/1996","30/JUN/1998"
"A00013680","GLF","01/JUL/1994","30/JUN/1995"
"A00013857","WFH","01/JUL/1992","30/JUN/1996"
"A00013873","WTF","01/JUL/1992","30/JUN/1996"
"A00013874","GLF","01/JUL/1986","30/JUN/1991"
"A00013883","MUHBKB","01/JUL/1993","30/JUN/1993"
"A00233375","HKY","01/JUL/1994","30/JUN/1994"
"A00208635","WRS","01/JUL/1998","30/JUN/1998"
"A00089002","HKY","01/JUL/1992","30/JUN/1996"
"A00014274","WFH","01/JUL/1982","30/JUN/1983"
"A00014063","TRK","01/JUL/1986","30/JUN/1986"
"A00014064","WTF","01/JUL/1983","30/JUN/1984"
"A00014085","TRK","01/JUL/1976","30/JUN/1981"
"A00208640","HKY","01/JUL/1998","30/JUN/2001"
"A00014104","HKY","01/JUL/1995","30/JUN/1998"
"A00233376","WSC","01/JUL/1997","30/JUN/1997"
"A00233202","WSD","01/JUL/1998","30/JUN/2001"
"A00216841","SWM","01/JUL/1999","30/JUN/2002"
"A00014694","WTF","01/JUL/1982","30/JUN/1982"
"A00014703","WFH","01/JUL/1990","30/JUN/1992"
"A00014709","FTB","01/JUL/1991","30/JUN/1992"
"A00233377","BKB","01/JUL/1995","30/JUN/1995"
"A00256013","GLF","01/JUL/1983","30/JUN/1983"
"A00015104","SOC","01/JUL/1983","30/JUN/1988"
"A00217492","WPS","01/JUL/2001","30/JUN/2001"
"A00015120","WTN","01/JUL/1985","30/JUN/1990"
"A00201842","WPS","01/JUL/1997","30/JUN/2000"
"A00015123","WRS","01/JUL/1988","30/JUN/1992"
"A00246712","WTF","01/JUL/1988","30/JUN/1988"
"A00201843","WPS","01/JUL/1996","30/JUN/1996"
"A00242287","WSD","01/JUL/1998","30/JUN/2002"
"A00201845","WPS","01/JUL/1996","30/JUN/2000"
"A00230914","SWM","01/JUL/2000","30/JUN/2002"
"A00015304","GLF","01/JUL/1975","30/JUN/1979"
"A00199891","BSB","01/JUL/2000","30/JUN/2003"
"A00090388","WTN","01/JUL/1990","30/JUN/1993"
"A00015515","WTF","01/JUL/1996","30/JUN/1999"
"A00227763","WFH","01/JUL/2000","30/JUN/2003"
"A00207479","HKY","01/JUL/1998","30/JUN/1999"
"A00015553","WTF","01/JUL/1976","30/JUN/1976"
"A00015931","WTN","01/JUL/1986","30/JUN/1991"
"A00015939","WFH","01/JUL/1988","30/JUN/1990"
"A00015957","TEN","01/JUL/1994","30/JUN/1998"
"A00015721","GLF","01/JUL/1992","30/JUN/1996"
"A00216849","WPS","01/JUL/2000","30/JUN/2000"
"A00015746","FTB","01/JUL/1990","30/JUN/1995"
"A00207482","HKY","01/JUL/1987","30/JUN/1991"
"A00208651","WPS","01/JUL/2001","30/JUN/2001"
"A00209474","WPS","01/JUL/1997","30/JUN/2001"
"A00015762","HKY","01/JUL/1986","30/JUN/1990"
"A00216851","WPS","01/JUL/2002","30/JUN/2002"
"A00216852","WSD","01/JUL/1999","30/JUN/2002"
"A00016143","HKY","01/JUL/1981","30/JUN/1985"
"A00016163","WTF","01/JUL/1986","30/JUN/1986"
"A00198208","FTB","01/JUL/1996","30/JUN/1999"
"A00016175","TEN","01/JUL/1985","30/JUN/1986"
"A00016342","FTB","01/JUL/1988","30/JUN/1993"
"A00016347","BSB","01/JUL/1988","30/JUN/1992"
"A00085103","FTB","01/JUL/1990","30/JUN/1990"
"A00016370","WTF","01/JUL/1983","30/JUN/1984"
"A00016389","SWM","01/JUL/1987","30/JUN/1990"
"A00013090","GLF","01/JUL/1980","30/JUN/1984"
"A00086370","WSD","01/JUL/1990","30/JUN/1993"
"A00013106","TRK","01/JUL/1985","30/JUN/1986"
"A00013113","TRK","01/JUL/1992","30/JUN/1994"
"A00013302","WSD","01/JUL/1988","30/JUN/1989"
"A00013314","FTB","01/JUL/1991","30/JUN/1995"
"A00013751","TEN","01/JUL/1984","30/JUN/1988"
"A00013752","CRC","01/JUL/1992","30/JUN/1992"
"A00013752","TRK","01/JUL/1989","30/JUN/1993"
"A00013775","FTB","01/JUL/1990","30/JUN/1990"
"A00233378","WTF","01/JUL/1998","30/JUN/1998"
"A00013783","WRS","01/JUL/1970","30/JUN/1975"
"A00013792","BSB","01/JUL/1976","30/JUN/1981"
"A00083049","WPS","01/JUL/1986","30/JUN/1986"
"A00201858","WFH","01/JUL/1997","30/JUN/1997"
"A00211331","WFH","01/JUL/1998","30/JUN/1999"
"A00013979","WFH","01/JUL/1989","30/JUN/1991"
"A00089182","WFH","01/JUL/1991","30/JUN/1995"
"A00013980","WFH","01/JUL/1989","30/JUN/1990"
"A00234294","WFH","01/JUL/2000","30/JUN/2000"
"A00013988","FTB","01/JUL/1995","30/JUN/1996"
"A00227779","WBB","01/JUL/2002","30/JUN/2002"
"A00013989","BSB","01/JUL/1990","30/JUN/1993"
"A00013989","TRK","01/JUL/1993","30/JUN/1993"
"A00013993","SWM","01/JUL/1990","30/JUN/1993"
"A00014000","WBB","01/JUL/1970","30/JUN/1975"
"A00014000","WFH","01/JUL/1975","30/JUN/1975"
"A00014007","GLF","01/JUL/1985","30/JUN/1989"
"A00014169","WFH","01/JUL/1985","30/JUN/1986"
"A00014170","WFH","01/JUL/1982","30/JUN/1984"
"A00014172","WFH","01/JUL/1979","30/JUN/1982"
"A00014172","WSB","01/JUL/1978","30/JUN/1982"
"A00087437","WTF","01/JUL/1990","30/JUN/1993"
"A00233379","WPS","01/JUL/1999","30/JUN/1999"
"A00246752","HKY","01/JUL/1991","30/JUN/1991"
"A00014389","WCRC","",""
"A00014389","WTF","01/JUL/1983","30/JUN/1987"
"A00208662","FTB","01/JUL/1998","30/JUN/1999"
"A00204316","BSB","01/JUL/1991","30/JUN/1991"
"A00246755","FTB","01/JUL/1985","30/JUN/1985"
"A00014576","WFH","01/JUL/1982","30/JUN/1985"
"A00014579","SOC","01/JUL/1983","30/JUN/1985"
"A00014581","FTB","01/JUL/1989","30/JUN/1992"
"A00014606","BSB","01/JUL/1987","30/JUN/1994"
"A00233583","WSC","01/JUL/1996","30/JUN/1996"
"A00227864","FTB","01/JUL/1999","30/JUN/2003"
"A00014806","WFH","01/JUL/1995","30/JUN/1999"
"A00216866","WSB","01/JUL/1999","30/JUN/1999"
"A00233380","GLF","01/JUL/1999","30/JUN/1999"
"A00014821","SOC","01/JUL/1985","30/JUN/1986"
"A00014826","WFH","01/JUL/1980","30/JUN/1983"
"A00014997","CRC","01/JUL/1982","30/JUN/1982"
"A00014997","TRK","01/JUL/1977","30/JUN/1982"
"A00015002","WRS","01/JUL/1993","30/JUN/1997"
"A00015005","WTN","01/JUL/1975","30/JUN/1980"
"A00015015","SOC","01/JUL/1987","30/JUN/1990"
"A00015026","WFH","01/JUL/1987","30/JUN/1988"
"A00015031","BSB","01/JUL/1991","30/JUN/1991"
"A00015196","WFH","01/JUL/1981","30/JUN/1985"
"A00015198","TEN","01/JUL/1981","30/JUN/1981"
"A00015217","WRS","01/JUL/1984","30/JUN/1985"
"A00201869","WTF","01/JUL/1997","30/JUN/1999"
"A00015449","TRK","01/JUL/1987","30/JUN/1990"
"A00015453","WSB","01/JUL/1993","30/JUN/1997"
"A00015454","WSB","01/JUL/1995","30/JUN/1996"
"A00216871","WPS","01/JUL/2000","30/JUN/2002"
"A00208712","MUMGLF","01/JUL/2001","30/JUN/2001"
"A00201871","WRS","01/JUL/1996","30/JUN/1997"
"A00015629","TRK","01/JUL/1983","30/JUN/1987"
"A00242804","TRK","",""
"A00015641","BSB","01/JUL/1982","30/JUN/1987"
"A00256092","MUMBKB","01/JUL/1985","30/JUN/1985"
"A00015847","SOC","01/JUL/1989","30/JUN/1991"
"A00221995","SOC","01/JUL/1990","30/JUN/1990"
"A00201873","WFH","01/JUL/1997","30/JUN/1998"
"A00016042","HKY","01/JUL/1989","30/JUN/1993"
"A00216876","HKY","01/JUL/1999","30/JUN/2002"
"A00016051","TRK","01/JUL/1983","30/JUN/1983"
"A00216877","FTB","01/JUL/1999","30/JUN/1999"
"A00016073","SWM","01/JUL/1980","30/JUN/1980"
"A00016239","SOC","01/JUL/1991","30/JUN/1992"
"A00016242","FTB","01/JUL/1994","30/JUN/1994"
"A00198215","BSB","01/JUL/1997","30/JUN/1998"
"A00016251","WSD","01/JUL/1990","30/JUN/1993"
"A00233381","WFH","01/JUL/1994","30/JUN/1994"
"A00016285","SOC","01/JUL/1993","30/JUN/1997"
"A00216735","WSC","01/JUL/2000","30/JUN/2002"
"A00013200","WSD","01/JUL/1979","30/JUN/1984"
"A00256714","HKY","01/JUL/1989","30/JUN/1989"
"A00013217","WTF","01/JUL/1983","30/JUN/1983"
"A00013222","WRS","01/JUL/1976","30/JUN/1981"
"A00247056","HKY","01/JUL/1988","30/JUN/1989"
"A00013398","TRK","01/JUL/1986","30/JUN/1988"
"A00084847","FTB","01/JUL/1985","30/JUN/1989"
"A00013615","FTB","01/JUL/1987","30/JUN/1987"
"A00013820","GLF","01/JUL/1994","30/JUN/1996"
"A00247064","HKY","01/JUL/1981","30/JUN/1985"
"A00013843","WPS","01/JUL/1995","30/JUN/1997"
"A00014010","HKY","01/JUL/1990","30/JUN/1990"
"A00014011","HKY","01/JUL/1975","30/JUN/1975"
"A00014019","WSD","01/JUL/1988","30/JUN/1992"
"A00014022","WFH","01/JUL/1991","30/JUN/1994"
"A00014038","BKB","01/JUL/1980","30/JUN/1980"
"A00260974","SWM","01/JUL/1999","30/JUN/2002"
"A00217498","HKY","01/JUL/1998","30/JUN/2001"
"A00014058","FTB","01/JUL/1985","30/JUN/1989"
"A00198218","WFH","01/JUL/1996","30/JUN/1999"
"A00014246","HKY","01/JUL/1984","30/JUN/1989"
"A00089216","WVB","01/JUL/1997","30/JUN/1997"
"A00014258","TRK","01/JUL/1977","30/JUN/1982"
"A00014413","FTB","01/JUL/1984","30/JUN/1985"
"A00202042","TRK","01/JUL/1995","30/JUN/2000"
"A00208721","TRK","01/JUL/1997","30/JUN/2001"
"A00086950","FTB","01/JUL/1985","30/JUN/1989"
"A00014450","HKY","01/JUL/1982","30/JUN/1982"
"A00014646","CRC","01/JUL/1985","30/JUN/1985"
"A00247100","FTB","01/JUL/1985","30/JUN/1985"
"A00014848","WFH","01/JUL/1995","30/JUN/1999"
"A00216744","WPS","01/JUL/2000","30/JUN/2001"
"A00087583","WTF","01/JUL/1985","30/JUN/1990"
"A00014863","WTF","01/JUL/1987","30/JUN/1988"
"A00014865","HKY","01/JUL/1992","30/JUN/1996"
"A00225945","FTB","01/JUL/1999","30/JUN/2002"
"A00233382","FTB","01/JUL/1994","30/JUN/1994"
"A00083913","WFH","01/JUL/1982","30/JUN/1986"
"A00014881","SOC","01/JUL/1984","30/JUN/1984"
"A00201271","GLF","01/JUL/1997","30/JUN/1997"
"A00015087","HKY","01/JUL/1985","30/JUN/1988"
"A00015263","WFH","01/JUL/1985","30/JUN/1985"
"A00015264","WFH","01/JUL/1983","30/JUN/1987"
"A00015274","WFH","01/JUL/1989","30/JUN/1994"
"A00015275","SWM","01/JUL/1993","30/JUN/1995"
"A00015288","WVB","01/JUL/1991","30/JUN/1992"
"A00015295","WTF","01/JUL/1983","30/JUN/1984"
